Date,Month,Quarter,Year,Region,Segment,Channel,Product,Sales_Rep,Revenue,Profit,Marketing_Spend,Ad_Spend,Operating_Cost,Support_Cost,Refund_Amount,Discount_Pct,Units_Sold,Avg_Order_Value,Customers_Start,New_Customers,Customers_Churned,Customers_End,Customer_Lifetime_Months,Website_Visits,Conversion_Rate_Pct,Email_Campaigns,NPS_Score,CSAT_Score,Tickets_Raised,Tickets_Resolved,Churn_Rate_Pct,ROI_Pct,LTV,CAC,Profit_Margin_Pct,LTV_CAC_Ratio,Resolution_Rate_Pct,Revenue_Per_Customer
2021-01-11,January,Q1,2021,Central,Enterprise,Direct,Product_B,Rep_19,38483.71,16074.42,5002.35,3834.71,16063.81,1343.13,443.62,3.62,238,548.26,1060,180,66,1174,13,4299,3.47,1,30,9.4,51,44,6.23,221.34,7127.38,27.79,41.77,256.47,86.27,36.31
2021-01-12,January,Q1,2021,North,Enterprise,Online,Product_A,Rep_1,38552.23,12248.7,5247.77,3506.23,20178.75,877.01,905.61,14.54,227,159.9,1034,178,55,1157,43,2506,4.17,13,79,6.1,39,29,5.32,133.41,6875.7,29.48,31.77,233.23,74.36,37.28
2021-01-13,January,Q1,2021,North,Enterprise,Partner,Product_D,Rep_16,42170.77,18499.81,4375.7,2953.67,17828.44,1466.82,1182.8,4.21,657,509.28,1092,201,47,1246,56,5803,2.14,13,34,9.2,121,86,4.3,322.79,28519.68,21.77,43.87,1310.05,71.07,38.62
2021-01-14,January,Q1,2021,West,Enterprise,Partner,Product_C,Rep_19,31474.64,11184.46,4313.21,2775.2,14763.01,1213.96,224.41,10.62,364,157.74,799,158,36,921,20,18361,2.29,6,57,9.6,164,131,4.51,159.31,3154.8,27.3,35.53,115.56,79.88,39.39
2021-01-15,January,Q1,2021,South,Retail,Partner,Product_A,Rep_20,32496.53,11828.74,2781.96,1849.15,16296.44,1589.39,904.57,11.52,69,305.68,1124,222,60,1286,41,19201,6.59,7,20,7.1,187,179,5.34,325.19,12532.88,12.53,36.4,1000.23,95.72,28.91
2021-01-16,January,Q1,2021,West,Retail,Partner,Product_E,Rep_18,38389.76,9069.55,5475.81,3063.3,22068.14,1776.26,612.81,0.51,725,399.21,1073,114,22,1165,31,15760,8.11,6,65,7.7,186,133,2.05,65.63,12375.51,48.03,23.62,257.66,71.51,35.78
2021-01-17,January,Q1,2021,West,Startup,Partner,Product_D,Rep_2,36217.13,12118.56,4285.63,2845.92,18061.82,1751.12,710.67,0.42,431,211.59,1042,190,26,1206,49,11826,5.78,5,62,8.9,80,66,2.5,182.77,10367.91,22.56,33.46,459.57,82.5,34.76
2021-01-18,January,Q1,2021,West,Government,Referral,Product_A,Rep_6,42932.6,12965.77,5890.82,4707.66,23203.0,873.01,599.59,13.01,658,484.04,1273,210,93,1390,12,14821,6.51,6,41,7.9,183,170,7.31,120.1,5808.48,28.05,30.2,207.08,92.9,33.73
2021-01-19,January,Q1,2021,West,Startup,Partner,Product_E,Rep_1,36901.32,9633.74,4120.49,2759.96,22087.78,1059.31,1718.51,17.4,192,162.7,1005,166,25,1146,16,14007,6.83,13,22,9.8,191,188,2.49,133.8,2603.2,24.82,26.11,104.88,98.43,36.72
2021-01-20,January,Q1,2021,West,Government,Partner,Product_D,Rep_19,34460.0,13859.27,4309.24,2212.02,14690.22,1601.27,1177.39,23.55,111,218.21,1036,117,65,1088,46,16786,3.34,14,33,7.5,146,145,6.27,221.62,10037.66,36.83,40.22,272.54,99.32,33.26
2021-01-21,January,Q1,2021,Central,SMB,Online,Product_A,Rep_5,48929.85,19026.18,5717.36,4224.73,22260.45,1925.86,642.11,4.48,291,408.71,1279,211,96,1394,47,10140,1.82,3,21,8.6,150,124,7.51,232.78,19209.37,27.1,38.88,708.83,82.67,38.26
2021-01-22,January,Q1,2021,South,Retail,Online,Product_E,Rep_2,40552.8,14990.79,5320.98,3293.38,19421.35,819.68,1307.89,2.58,287,475.13,1001,198,36,1163,12,7798,1.51,9,80,8.9,132,130,3.6,181.73,5701.56,26.87,36.97,212.19,98.48,40.51
2021-01-23,January,Q1,2021,North,Startup,Partner,Product_C,Rep_1,42099.4,15902.65,3608.51,1970.62,20391.5,2196.74,1786.22,1.3,180,543.07,1033,197,44,1186,25,17857,3.95,5,51,7.6,59,42,4.26,340.7,13576.75,18.32,37.77,741.09,71.19,40.75
2021-01-24,January,Q1,2021,Central,SMB,Referral,Product_D,Rep_16,34718.1,13285.19,2924.12,2218.69,16741.21,1767.58,697.19,10.9,654,443.62,1077,155,58,1174,20,1567,3.19,2,57,9.2,102,94,5.39,354.33,8872.4,18.87,38.27,470.19,92.16,32.24
2021-01-25,January,Q1,2021,East,Government,Partner,Product_A,Rep_2,39200.01,10946.36,3814.05,2133.55,22795.68,1643.92,1626.72,15.58,652,455.76,1180,123,86,1217,41,12624,1.94,14,65,7.8,188,168,7.29,187.0,18686.16,31.01,27.92,602.58,89.36,33.22
2021-01-26,January,Q1,2021,Central,Retail,Partner,Product_E,Rep_4,42556.61,14612.52,3879.81,3011.63,23100.01,964.27,328.57,21.01,694,332.37,1121,153,86,1188,35,13215,2.76,14,61,7.3,112,87,7.67,276.63,11632.95,25.36,34.34,458.71,77.68,37.96
2021-01-27,January,Q1,2021,West,Startup,Partner,Product_C,Rep_3,36327.11,10416.2,5123.03,3240.52,18947.53,1840.35,1494.46,17.07,172,171.22,975,178,63,1090,15,8966,2.37,12,25,6.0,53,45,6.46,103.32,2568.3,28.78,28.67,89.24,84.91,37.26
2021-01-28,January,Q1,2021,South,Enterprise,Social,Product_E,Rep_17,44040.65,17591.24,4199.05,3035.23,20341.26,1909.1,1189.75,5.21,489,205.65,1055,180,27,1208,25,19642,7.9,10,60,7.2,192,142,2.56,318.93,5141.25,23.33,39.94,220.37,73.96,41.74
2021-01-29,January,Q1,2021,East,Government,Referral,Product_C,Rep_15,39239.05,9246.79,5819.57,3864.77,22160.57,2012.12,437.47,11.54,391,398.75,1051,153,63,1141,36,9120,2.48,10,44,8.7,117,112,5.99,58.89,14355.0,38.04,23.57,377.37,95.73,37.33
2021-01-30,January,Q1,2021,South,SMB,Direct,Product_A,Rep_10,40863.85,10433.98,4232.79,2442.27,24151.03,2046.05,831.87,22.76,468,451.86,1108,117,49,1176,15,17279,5.26,7,30,9.5,185,149,4.42,146.5,6777.9,36.18,25.53,187.34,80.54,36.88
2021-01-31,January,Q1,2021,East,Startup,Partner,Product_E,Rep_12,39393.87,11459.37,3653.71,2562.45,22227.58,2053.21,1946.04,8.17,679,340.82,1163,166,56,1273,36,12336,5.65,3,60,6.6,138,123,4.82,213.64,12269.52,22.01,29.09,557.45,89.13,33.87
2021-02-01,February,Q1,2021,North,Government,Direct,Product_E,Rep_12,51743.87,21923.25,6999.85,5511.5,20713.74,2107.03,2027.21,12.47,504,495.48,1166,171,27,1310,21,5310,5.3,1,76,7.0,74,55,2.32,213.2,10405.08,40.93,42.37,254.22,74.32,44.38
2021-02-02,February,Q1,2021,West,Government,Referral,Product_B,Rep_20,42495.08,13640.79,5359.04,3916.87,22406.82,1088.43,1221.92,23.96,247,363.6,951,183,30,1104,46,14187,2.19,3,65,6.2,90,69,3.15,154.54,16725.6,29.28,32.1,571.23,76.67,44.68
2021-02-03,February,Q1,2021,East,Enterprise,Partner,Product_D,Rep_7,37354.09,15989.53,4291.0,2923.05,15323.66,1749.9,215.09,18.37,331,187.52,1239,203,84,1358,18,15089,3.73,9,67,8.5,140,140,6.78,272.63,3375.36,21.14,42.81,159.67,100.0,30.15
2021-02-04,February,Q1,2021,North,SMB,Direct,Product_E,Rep_10,46835.45,18021.53,5567.59,4438.42,21147.21,2099.12,978.42,18.69,50,257.77,1161,152,55,1258,53,2982,1.86,5,82,9.6,147,136,4.74,223.69,13661.81,36.63,38.48,372.97,92.52,40.34
2021-02-05,February,Q1,2021,West,Startup,Direct,Product_C,Rep_5,36698.58,14975.25,4783.44,2772.47,15116.33,1823.56,482.68,6.31,772,530.82,1279,195,49,1425,24,2096,4.27,7,58,8.3,158,156,3.83,213.06,12739.68,24.53,40.81,519.35,98.73,28.69
2021-02-06,February,Q1,2021,South,Government,Referral,Product_D,Rep_20,43927.2,15658.02,4216.65,2187.19,22875.49,1177.04,155.94,10.37,381,492.72,1189,127,51,1265,15,14582,2.82,3,29,8.2,43,34,4.29,271.34,7390.8,33.2,35.65,222.61,79.07,36.94
2021-02-07,February,Q1,2021,South,Retail,Partner,Product_A,Rep_20,33164.61,9456.55,4966.18,2530.96,17819.94,921.94,899.1,2.06,261,546.35,1258,248,90,1416,54,7497,5.43,4,84,7.9,135,101,7.15,90.42,29502.9,20.02,28.51,1473.67,74.81,26.36
2021-02-08,February,Q1,2021,Central,Government,Social,Product_D,Rep_11,36402.11,13587.11,5396.09,3848.53,15394.36,2024.55,1618.41,15.16,136,202.58,1199,163,78,1284,47,14545,6.35,1,78,5.9,189,161,6.51,151.8,9521.26,33.1,37.33,287.65,85.19,30.36
2021-02-09,February,Q1,2021,Central,Startup,Referral,Product_B,Rep_2,44107.43,15336.61,5536.49,4147.22,21029.0,2205.33,1489.95,2.59,714,595.94,1291,191,47,1435,25,12582,5.22,3,55,8.6,14,12,3.64,177.01,14898.5,28.99,34.77,513.92,85.71,34.17
2021-02-10,February,Q1,2021,South,SMB,Social,Product_A,Rep_16,46895.54,16809.96,4406.68,3042.95,23037.31,2641.59,585.44,20.9,748,222.05,1212,164,33,1343,29,16378,4.54,7,46,8.1,7,5,2.72,281.47,6439.45,26.87,35.85,239.65,71.43,38.69
2021-02-11,February,Q1,2021,West,Government,Partner,Product_E,Rep_12,44140.12,15370.69,5632.98,4345.89,20914.06,2222.39,1265.9,20.36,110,143.62,1154,194,41,1307,19,11864,4.21,4,74,8.3,50,46,3.55,172.87,2728.78,29.04,34.82,93.97,92.0,38.25
2021-02-12,February,Q1,2021,West,SMB,Direct,Product_A,Rep_16,42785.12,19118.74,3639.04,2581.51,18149.66,1877.68,2017.82,13.34,144,587.87,1395,232,105,1522,43,19803,7.39,2,72,9.4,154,125,7.53,425.38,25278.41,15.69,44.69,1611.12,81.17,30.67
2021-02-13,February,Q1,2021,Central,Retail,Referral,Product_A,Rep_4,41937.92,16267.69,3445.02,2105.89,20289.13,1936.08,1515.88,3.53,602,284.7,1261,216,69,1408,38,5279,3.04,14,79,8.9,71,54,5.47,372.21,10818.6,15.95,38.79,678.28,76.06,33.26
2021-02-14,February,Q1,2021,West,Startup,Referral,Product_B,Rep_2,36130.91,10700.58,3542.2,1963.72,19880.51,2007.62,1245.57,0.64,196,459.33,1234,156,64,1326,53,18057,6.64,5,80,8.9,197,158,5.19,202.09,24344.49,22.71,29.62,1071.97,80.2,29.28
2021-02-15,February,Q1,2021,Central,Startup,Referral,Product_C,Rep_10,40004.38,17212.38,4495.84,3495.04,16569.88,1726.28,1936.53,19.92,295,232.75,1053,139,59,1133,48,8312,6.8,5,55,9.5,101,88,5.6,282.85,11172.0,32.34,43.03,345.45,87.13,37.99
2021-02-16,February,Q1,2021,West,Government,Online,Product_A,Rep_13,41380.49,16464.85,5825.51,3093.81,17215.77,1874.36,1652.89,15.0,693,419.34,1055,119,44,1130,34,16440,4.43,2,46,9.8,23,21,4.17,182.63,14257.56,48.95,39.79,291.27,91.3,39.22
2021-02-17,February,Q1,2021,South,Startup,Partner,Product_C,Rep_19,49049.37,18240.72,6420.65,4256.23,23100.01,1287.99,335.06,17.77,346,555.18,1217,201,83,1335,18,3369,3.58,11,60,8.0,66,56,6.82,184.09,9993.24,31.94,37.19,312.88,84.85,40.3
2021-02-18,February,Q1,2021,West,SMB,Online,Product_D,Rep_15,45561.94,10967.14,6013.7,3573.35,26806.15,1774.95,791.95,7.6,172,306.1,1207,126,62,1271,23,17192,4.79,6,47,6.0,102,87,5.14,82.37,7040.3,47.73,24.07,147.5,85.29,37.75
2021-02-19,February,Q1,2021,North,SMB,Referral,Product_B,Rep_1,35108.72,10808.05,3854.39,2241.04,18738.03,1708.25,1694.24,12.74,704,451.7,1135,181,31,1285,36,18450,2.15,10,35,7.5,61,45,2.73,180.41,16261.2,21.29,30.78,763.8,73.77,30.93
2021-02-20,February,Q1,2021,North,SMB,Referral,Product_E,Rep_17,45624.42,15020.15,4754.77,3298.62,24442.55,1406.95,1117.13,18.68,743,235.14,1214,227,34,1407,14,6432,1.82,4,54,8.9,99,96,2.8,215.9,3291.96,20.95,32.92,157.13,96.97,37.58
2021-02-21,February,Q1,2021,Central,Enterprise,Social,Product_A,Rep_20,42158.67,16591.68,4467.67,2543.76,19915.08,1184.24,235.32,11.56,753,428.5,1363,258,71,1550,37,1687,2.28,14,55,5.6,111,109,5.21,271.37,15854.5,17.32,39.36,915.39,98.2,30.93
2021-02-22,February,Q1,2021,South,Startup,Online,Product_C,Rep_4,40779.55,12216.71,6081.68,4712.75,21153.66,1327.5,935.09,15.03,505,308.24,1278,185,97,1366,15,14175,2.81,1,75,5.7,92,83,7.59,100.88,4623.6,32.87,29.96,140.66,90.22,31.91
2021-02-23,February,Q1,2021,North,SMB,Direct,Product_A,Rep_20,47302.63,22965.71,3917.02,2435.65,19016.9,1403.0,1648.48,19.74,448,240.83,1098,160,42,1216,53,1068,5.03,3,38,5.8,145,102,3.83,486.31,12763.99,24.48,48.55,521.4,70.34,43.08
2021-02-24,February,Q1,2021,West,Enterprise,Partner,Product_B,Rep_9,49479.32,15016.58,6961.35,4895.31,26086.45,1414.94,2467.9,5.38,768,300.69,1205,130,87,1248,47,11295,7.44,14,76,8.6,148,127,7.22,115.71,14132.43,53.55,30.35,263.91,85.81,41.06
2021-02-25,February,Q1,2021,South,SMB,Direct,Product_E,Rep_6,49060.8,12748.02,5912.18,4246.88,28585.64,1814.96,794.55,1.65,280,219.16,1140,190,75,1255,26,7774,3.15,9,52,7.7,148,132,6.58,115.62,5698.16,31.12,25.98,183.1,89.19,43.04
2021-02-26,February,Q1,2021,West,Retail,Direct,Product_D,Rep_3,40288.4,12508.29,4460.05,3143.81,21051.28,2268.78,1035.59,13.3,583,544.87,1185,216,41,1360,43,17803,8.05,10,42,7.1,119,119,3.46,180.45,23429.41,20.65,31.05,1134.6,100.0,34.0
2021-02-27,February,Q1,2021,Central,Enterprise,Partner,Product_D,Rep_2,43018.5,10935.73,5625.44,4337.33,24724.44,1732.89,1892.13,1.55,451,335.6,1187,148,26,1309,40,13190,8.18,7,82,6.0,123,123,2.19,94.4,13424.0,38.01,25.42,353.17,100.0,36.24
2021-02-28,February,Q1,2021,South,Startup,Referral,Product_C,Rep_18,46300.96,14521.0,5281.4,3006.91,25224.51,1274.05,822.46,19.16,641,259.49,1184,168,31,1321,21,11789,8.21,13,41,8.6,56,54,2.62,174.95,5449.29,31.44,31.36,173.32,96.43,39.11
2021-03-01,March,Q1,2021,East,Startup,Social,Product_D,Rep_19,49602.45,20419.83,7000.87,3681.17,21036.98,1144.77,270.98,17.98,179,347.24,1111,204,71,1244,32,7891,7.36,6,78,6.9,45,32,6.39,191.68,11111.68,34.32,41.17,323.77,71.11,44.65
2021-03-02,March,Q1,2021,South,Enterprise,Referral,Product_C,Rep_7,42408.93,9695.27,6066.56,3134.23,24617.99,2029.11,2012.17,22.04,341,303.14,1227,230,39,1418,27,11316,4.05,14,44,6.6,52,51,3.18,59.81,8184.78,26.38,22.86,310.26,98.08,34.56
2021-03-03,March,Q1,2021,South,Retail,Referral,Product_E,Rep_3,43956.59,19423.49,4814.15,3674.9,18166.76,1552.19,1073.51,15.99,325,478.92,1188,148,50,1286,58,1439,2.01,1,36,8.3,95,84,4.21,303.47,27777.36,32.53,44.19,853.9,88.42,37.0
2021-03-04,March,Q1,2021,Central,Startup,Online,Product_A,Rep_18,39433.29,13444.99,3918.8,3103.64,19984.53,2084.97,991.32,1.68,425,585.05,955,148,48,1055,30,18592,5.48,9,58,7.9,43,40,5.03,243.09,17551.5,26.48,34.1,662.82,93.02,41.29
2021-03-05,March,Q1,2021,North,Enterprise,Direct,Product_B,Rep_20,39064.01,15771.22,4744.89,2803.08,16736.09,1811.81,1213.33,6.33,104,361.11,1458,174,93,1539,40,19947,5.41,13,58,7.1,17,14,6.38,232.38,14444.4,27.27,40.37,529.68,82.35,26.79
2021-03-06,March,Q1,2021,East,Retail,Direct,Product_E,Rep_20,49187.75,19770.7,7076.42,5010.49,19790.26,2550.37,8.7,20.2,627,552.86,1365,150,37,1478,29,8466,7.45,9,43,8.3,136,108,2.71,179.39,16032.94,47.18,40.19,339.82,79.41,36.03
2021-03-07,March,Q1,2021,Central,Enterprise,Direct,Product_E,Rep_19,51986.41,20273.09,4925.52,2475.93,25182.57,1605.23,2420.31,4.18,788,420.36,1223,234,54,1403,55,18637,8.47,1,57,6.7,100,84,4.42,311.59,23119.8,21.05,39.0,1098.33,84.0,42.51
2021-03-08,March,Q1,2021,East,SMB,Social,Product_D,Rep_9,44925.23,16608.4,5553.1,3090.8,20621.05,2142.68,811.91,17.46,75,217.94,1266,230,62,1434,27,4209,5.06,14,76,8.9,113,84,4.9,199.08,5884.38,24.14,36.97,243.76,74.34,35.49
2021-03-09,March,Q1,2021,East,Government,Social,Product_D,Rep_16,50383.03,17534.71,6258.04,4423.07,25050.45,1539.83,999.93,19.51,490,473.09,1151,203,60,1294,12,4549,3.92,13,63,6.5,108,87,5.21,180.19,5677.08,30.83,34.8,184.14,80.56,43.77
2021-03-10,March,Q1,2021,East,Enterprise,Social,Product_B,Rep_6,47253.63,13971.92,6205.25,3225.28,24356.41,2720.05,411.36,8.25,246,371.56,1442,151,100,1493,59,17998,2.8,13,55,6.2,102,98,6.93,125.16,21922.04,41.09,29.57,533.51,96.08,32.77
2021-03-11,March,Q1,2021,East,Enterprise,Partner,Product_A,Rep_12,42299.93,19313.62,3773.57,2417.17,17290.0,1922.74,799.79,8.06,691,433.7,1466,270,44,1692,13,4078,1.53,6,64,8.9,47,33,3.0,411.81,5638.1,13.98,45.66,403.3,70.21,28.85
2021-03-12,March,Q1,2021,Central,Startup,Social,Product_E,Rep_6,47412.58,19548.74,6168.74,4310.56,20131.41,1563.69,1905.85,13.95,292,526.86,1296,186,89,1393,26,4490,5.06,7,45,8.5,92,69,6.87,216.9,13698.36,33.17,41.23,412.97,75.0,36.58
2021-03-13,March,Q1,2021,West,Enterprise,Online,Product_D,Rep_13,53375.87,16752.49,7666.5,5594.92,27313.95,1642.93,2135.01,21.53,773,364.93,1387,186,85,1488,50,4543,5.39,2,30,6.3,97,72,6.13,118.52,18246.5,41.22,31.39,442.66,74.23,38.48
2021-03-14,March,Q1,2021,South,Enterprise,Online,Product_E,Rep_5,45586.64,18743.02,4220.31,2684.73,21363.43,1259.88,2132.99,5.6,239,546.89,1306,202,70,1438,39,19284,7.27,10,71,6.0,178,146,5.36,344.11,21328.71,20.89,41.12,1021.0,82.02,34.91
2021-03-15,March,Q1,2021,East,Startup,Referral,Product_A,Rep_13,53669.06,16624.07,5185.94,3573.55,29294.44,2564.61,1082.05,23.53,787,486.53,1159,126,72,1213,12,7751,5.03,8,44,9.1,130,130,6.21,220.56,5838.36,41.16,30.98,141.85,100.0,46.31
2021-03-16,March,Q1,2021,South,Startup,Referral,Product_C,Rep_20,32827.2,9611.65,4858.35,3215.61,17413.46,943.74,1163.27,14.98,617,360.77,1255,220,56,1419,16,15906,7.92,8,50,8.8,113,85,4.46,97.84,5772.32,22.08,29.28,261.43,75.22,26.16
2021-03-17,March,Q1,2021,West,Retail,Referral,Product_A,Rep_7,50115.52,14753.94,4644.12,2394.93,28521.79,2195.67,1271.02,24.8,616,428.4,1313,208,37,1484,53,19096,5.9,6,64,6.9,51,38,2.82,217.69,22705.2,22.33,29.44,1016.8,74.51,38.17
2021-03-18,March,Q1,2021,South,SMB,Referral,Product_E,Rep_12,46521.32,13542.79,6504.0,4701.36,25051.66,1422.87,1870.21,2.24,325,292.75,1259,149,75,1333,33,15425,7.38,9,59,8.3,96,94,5.96,108.22,9660.75,43.65,29.11,221.32,97.92,36.95
2021-03-19,March,Q1,2021,West,Retail,Online,Product_E,Rep_4,44671.13,15772.29,5113.03,2820.9,21709.55,2076.26,1591.5,3.16,458,579.57,1286,153,66,1373,47,19713,2.54,3,65,6.0,185,178,5.13,208.47,27239.79,33.42,35.31,815.07,96.22,34.74
2021-03-20,March,Q1,2021,South,Startup,Referral,Product_B,Rep_5,46705.05,14735.58,4544.69,2315.71,24968.21,2456.57,859.15,20.67,389,454.73,1303,154,76,1381,57,12811,7.49,2,73,7.7,157,111,5.83,224.24,25919.61,29.51,31.55,878.33,70.7,35.84
2021-03-21,March,Q1,2021,South,Retail,Online,Product_E,Rep_16,36388.48,12839.68,5129.05,3258.74,16559.53,1860.22,612.55,21.62,202,155.39,1308,138,53,1393,24,18578,6.23,2,60,5.6,45,42,4.05,150.33,3729.36,37.17,35.29,100.33,93.33,27.82
2021-03-22,March,Q1,2021,West,Enterprise,Social,Product_D,Rep_4,45308.05,17087.11,5036.96,3826.53,20898.91,2285.07,571.88,11.14,614,288.61,1326,211,99,1438,12,7781,2.69,6,57,7.2,7,6,7.47,239.23,3463.32,23.87,37.71,145.09,85.71,34.17
2021-03-23,March,Q1,2021,East,Government,Social,Product_B,Rep_8,48272.05,14416.78,5601.35,3054.13,26926.01,1327.91,1391.48,17.85,447,409.42,1218,224,67,1375,27,18762,2.83,7,55,5.8,125,116,5.5,157.38,11054.34,25.01,29.87,442.0,92.8,39.63
2021-03-24,March,Q1,2021,East,SMB,Partner,Product_E,Rep_16,53956.04,20613.06,5673.28,2858.52,26399.82,1269.88,2600.26,21.69,493,161.11,1257,128,32,1353,52,16563,7.99,6,63,7.5,81,69,2.55,263.34,8377.72,44.32,38.2,189.03,85.19,42.92
2021-03-25,March,Q1,2021,North,Retail,Referral,Product_A,Rep_8,44055.3,11932.79,5353.01,2853.12,24656.7,2112.8,440.7,1.08,672,162.54,1204,126,57,1273,33,15797,1.73,11,76,7.3,99,99,4.73,122.92,5363.82,42.48,27.09,126.27,100.0,36.59
2021-03-26,March,Q1,2021,North,SMB,Social,Product_E,Rep_17,42684.26,13203.74,3903.33,2377.51,24094.6,1482.59,203.29,14.35,476,332.86,1434,226,94,1566,43,18133,4.74,3,49,7.4,17,12,6.56,238.27,14312.98,17.27,30.93,828.78,70.59,29.77
2021-03-27,March,Q1,2021,North,Startup,Social,Product_A,Rep_14,44298.02,12572.58,4756.53,3206.15,25316.87,1652.04,264.46,21.34,536,284.9,1130,206,76,1260,27,1300,3.69,5,29,5.7,109,84,6.73,164.32,7692.3,23.09,28.38,333.14,77.06,39.2
2021-03-28,March,Q1,2021,Central,Retail,Direct,Product_A,Rep_12,51463.9,12740.83,7609.39,4245.31,30020.28,1093.4,2015.07,9.95,253,347.21,1460,194,73,1581,26,5695,6.16,8,80,7.1,22,18,5.0,67.44,9027.46,39.22,24.76,230.17,81.82,35.25
2021-03-29,March,Q1,2021,West,Government,Direct,Product_E,Rep_3,48610.72,18732.17,4767.22,3530.55,23634.39,1476.94,850.94,7.56,161,262.77,1487,201,110,1578,57,13174,7.38,6,82,8.8,41,34,7.4,292.94,14977.89,23.72,38.54,631.45,82.93,32.69
2021-03-30,March,Q1,2021,East,Startup,Online,Product_A,Rep_20,44398.25,17266.83,5592.92,4060.4,20590.73,947.77,498.07,19.89,374,244.04,1322,211,48,1485,53,17222,4.02,2,55,7.1,175,171,3.63,208.73,12934.12,26.51,38.89,487.9,97.71,33.58
2021-03-31,March,Q1,2021,East,SMB,Partner,Product_C,Rep_2,49693.46,16181.66,5106.66,3619.39,25663.68,2741.46,876.7,8.39,307,478.45,1096,140,49,1187,23,17661,4.49,7,73,8.6,166,144,4.47,216.87,11004.35,36.48,32.56,301.65,86.75,45.34
2021-04-01,April,Q2,2021,East,Enterprise,Direct,Product_B,Rep_13,47692.59,17259.31,6397.63,4134.41,22617.47,1418.18,1538.87,0.08,577,372.88,1324,136,98,1362,12,11750,8.37,8,84,7.1,59,42,7.4,169.78,4474.56,47.04,36.19,95.12,71.19,36.02
2021-04-02,April,Q2,2021,South,Government,Partner,Product_E,Rep_11,52130.51,18158.65,4648.02,2833.27,27119.06,2204.78,1425.21,23.99,399,245.64,1358,236,100,1494,28,8307,6.99,4,23,7.3,56,46,7.36,290.67,6877.92,19.7,34.83,349.13,82.14,38.39
